fraction,num_samples,mean_reward,std_reward,mean_length,success_rate,final_train_loss,final_val_loss
0.1,5639,233.9934448874048,44.610575295322235,402.26,85.0,0.11249446299738854,0.1285374977275835
0.25,14097,236.60931992993105,50.761800359850504,368.09,88.0,0.062318358571989016,0.06673421448638253
0.5,28195,231.30506301113556,52.32638126058771,388.47,84.0,0.06601116473839878,0.08944986599282297
0.75,42293,234.3536095349272,40.589273865725325,369.13,86.0,0.06610218623287836,0.07281717673897081
1.0,56391,241.30985282060269,41.793924229200044,355.23,93.0,0.05893007844292112,0.09664897932401414
