epoch,train_loss,val_loss
1,0.3841318396091461,0.29743142333030703
2,0.29708688230514524,0.27269741954803467
3,0.270593762922287,0.24625236263275146
4,0.23894170932769776,0.21040652551651
5,0.1992070950984955,0.1724886399269104
6,0.16148976917266847,0.13910517091751098
7,0.1357470581769943,0.12287289609909058
8,0.1209681817650795,0.1090592104434967
9,0.10695155030488968,0.09438435473442078
10,0.0983572929263115,0.08616975903511047
11,0.0899279670059681,0.08130260944366455
12,0.08219878752827645,0.07858401083946229
13,0.07892752647399902,0.07044104245901107
14,0.07466945639848709,0.0630290031850338
15,0.06875229643583297,0.06130600110292435
16,0.06416293252706527,0.057961300438642505
17,0.059722309595346454,0.055614160820841786
18,0.056262965646386144,0.07628059602379798
19,0.053854147349298,0.05105649062097073
20,0.05102374414950609,0.05175078842937946
21,0.0486306720495224,0.04307838042080402
22,0.0450982191324234,0.04205463410615921
23,0.04500222839415073,0.04764095821417868
24,0.042405553345382214,0.03770834806449711
25,0.04020298618972302,0.03655965891629458
26,0.03977721255123615,0.0413962089728564
27,0.037026631006971004,0.039439364087581634
28,0.03794459235090762,0.03353920121602714
29,0.042093302200734616,0.043605582576990126
30,0.03546987863481045,0.035642909082770347
31,0.03400157640352845,0.031640406695380804
32,0.03387080519217998,0.030778454379737377
33,0.032884298078715804,0.028874135822430255
34,0.0320316420391202,0.028730739064887167
35,0.031159709882736208,0.03242264012563974
36,0.03134182998873294,0.036145139428321274
37,0.03266835235208273,0.03533331931536086
38,0.03304416483044624,0.03467842538114637
39,0.028997932939976455,0.03377437708261423
40,0.027792914717271924,0.03596054190457799
41,0.030832195051759482,0.027880382928997277
42,0.02954472510367632,0.03253517521712929
43,0.030428915615472944,0.027349981534015386
44,0.02852739368490875,0.04973905000723899
45,0.0264139654122293,0.0232703129991889
46,0.026895495874062182,0.023942313676606864
47,0.027757052803039552,0.025012185273878277
48,0.027512542783934623,0.028129995374695863
49,0.030389636692404746,0.025976209558034317
50,0.026347136573586612,0.02382493340920191
