epoch,train_loss,val_loss
1,0.7375874837454508,0.4247804124633919
2,0.3185440403790651,0.23865394350542585
3,0.21724836836418884,0.1905608537163239
4,0.1772486954348733,0.1524862865157315
5,0.1587261026089317,0.14618944000643994
6,0.14241924940599027,0.13873669924548895
7,0.1323367773794202,0.12487535562122827
8,0.12695900143767783,0.12897344676427452
9,0.1212086982550742,0.11336287129804147
10,0.11659112286220989,0.11154923070248893
11,0.11012039916917858,0.11952509512867697
12,0.10911495801002596,0.09695345973271471
13,0.1090033118155413,0.11084871720223734
14,0.10008194484906663,0.08501962693980351
15,0.1033933923893056,0.0912344890923003
16,0.09959276033409163,0.1075923224756355
17,0.09339817208661574,0.09874827732948116
18,0.09161833802802614,0.08099663018851994
19,0.0954165878905686,0.09850829107859782
20,0.09477249101150499,0.08812250925807816
21,0.09099347795746093,0.10241438511843926
22,0.08898777326020309,0.08490649911780045
23,0.08831957904323023,0.132144285344966
24,0.09521520209993681,0.08659347255314344
25,0.08427229739618568,0.08627289998029572
26,0.0866290631684709,0.06994275310754601
27,0.08114294621496891,0.07610553691266213
28,0.0856694501209796,0.07143681685982159
29,0.08512486818015819,0.09202719444095407
30,0.07870998483406862,0.08071963637271258
31,0.08114543558356187,0.06271859543433198
32,0.0811270336523232,0.06611214519261796
33,0.07691654369649914,0.08001552709124064
34,0.08242817478273265,0.07363466930457839
35,0.07441596527892576,0.1496787596329147
36,0.08024851517894839,0.0749909556070753
37,0.07627332218204075,0.06418597434090602
38,0.08162720121098423,0.060177884706276955
39,0.07444767666295882,0.1273388422529189
40,0.07644890333600322,0.0689555649189915
41,0.0838402786754081,0.07439814698048842
42,0.07560149872106406,0.07918853380711804
43,0.08053200428215065,0.062428427439935055
44,0.07879598750755136,0.09815224870921808
45,0.07171736009872157,0.05849224704033951
46,0.07698281422669656,0.06489474949009881
47,0.072924730760868,0.058770886993032206
48,0.07614938631365752,0.07565209356644682
49,0.07131703004391614,0.0775496849783775
50,0.07895789589877564,0.0648183186999018
51,0.06569035948947995,0.100044597884235
52,0.07929755894572606,0.06926191695363468
53,0.07272448116098551,0.06516647413965856
54,0.06966024794914574,0.0730916977305897
55,0.06629591207375898,0.07703046686996888
56,0.07555815126825507,0.0767570905762606
57,0.07415058711878288,0.06450293578028478
58,0.06632369771959153,0.07766657227655074
59,0.07231914377529362,0.09118360560560773
60,0.0719495710744558,0.06624104984998716
61,0.06715794109002265,0.06857790404537506
62,0.07050744363997481,0.0650892204867042
63,0.07032797047790747,0.10629884329167771
64,0.06933456477776004,0.05264291519739916
65,0.06409328083333805,0.06335918810930338
66,0.07169403989177833,0.06411783635564777
67,0.06612658754551341,0.09519811075929527
68,0.0670405977553754,0.12515813596251044
69,0.07267501181489315,0.08383524963418036
70,0.07014742400315525,0.10628694990993812
71,0.06890903776526414,0.054344044093883846
72,0.0667207109444418,0.05204398072329565
73,0.06599100969348973,0.1344228070249109
74,0.06572208229117432,0.09476164670338898
75,0.06857885795097589,0.13151077709293438
76,0.07065159983577553,0.05647808447713383
77,0.0655567510353111,0.05111527176408234
78,0.06479776155327119,0.06474356689959467
79,0.06526311411647684,0.05080251412662523
80,0.0646762524390077,0.05202370978378586
81,0.06453496800766312,0.08055945432369468
82,0.06811090945268665,0.0734551988037734
83,0.06559523455353526,0.09797593514488748
84,0.06732631197103764,0.07004094965556447
85,0.0712943344437594,0.05660140820928278
86,0.05973968443601642,0.05212798952013954
87,0.05769735159747809,0.0689298292402
88,0.06730837080416939,0.04667500000046068
89,0.06909088530178203,0.071913471379219
90,0.06346234784179634,0.047739786550761665
91,0.06452228970849455,0.08497561749772078
92,0.0658430887809336,0.059197503964056916
93,0.06798457583975054,0.06244689646670028
94,0.05914732653070932,0.0556768793204816
95,0.06696708330074974,0.07963157704928864
96,0.0641715820329761,0.06687339988840747
97,0.066462888882637,0.06339493345065297
98,0.05743086721604757,0.07014773174990221
99,0.06378113411170072,0.057381328911062186
100,0.05629334454894552,0.08594142893963906
