noise_level,mean_reward,std_reward,mean_length,success_rate,final_train_loss,final_val_loss
0.0,233.03882706833303,69.89885525343954,348.14,90.0,0.06356585202505771,0.05601600190676284
0.1,236.28511810415975,49.81527198406302,354.46,89.0,0.41646514173665145,0.42912153397503555
0.25,229.49608720222201,90.95771370390057,359.1,89.0,0.7378919514110482,0.748901751576422
0.5,229.08958306371872,104.37813786125271,334.88,89.0,1.0939311655537205,1.1087009648353414
0.75,61.31954735284526,295.2995579335328,251.28,65.0,1.302218045848421,1.3398084162249506
