timesteps,wall_time_seconds,mean_reward,std_reward,success_rate
25000,19.620420932769775,-835.0607673156558,223.5671215157991,0.0
50000,52.63827180862427,-480.0110677307287,77.92500992049024,0.0
75000,80.84108448028564,-80.93519520817136,21.577512789817526,0.0
100000,103.9382495880127,12.2386853537038,91.31990092768893,5.0
125000,126.80579805374146,-48.00678689798666,92.85436532229599,0.0
150000,175.03188109397888,-46.961838782992025,113.56575756768281,0.0
175000,200.38924193382263,-57.939942427689196,59.429823544445064,0.0
200000,222.5828812122345,-42.423368686892104,71.52331557211883,0.0
225000,275.8181629180908,117.58932578083821,116.43409480530288,25.0
250000,349.22159695625305,-33.35510811435343,118.5758268274059,0.0
275000,404.0267276763916,51.57700710937782,122.60009796861992,5.0
300000,476.4214403629303,10.696597724118273,109.00130627212451,5.0
325000,555.7784116268158,46.660208350430146,139.73656903381038,15.0
350000,633.199857711792,18.8898755158445,121.21024616006154,5.0
375000,704.019392490387,54.127318202882535,141.76431738826113,40.0
400000,780.2500038146973,63.625507766946065,127.06100471548677,20.0
425000,848.412109375,78.23435022872917,123.92874037714522,25.0
450000,888.4061450958252,117.2390674394076,117.19740160450014,40.0
475000,910.7695593833923,62.3735544439214,126.35482621143598,25.0
500000,931.7169005870819,56.67902698104778,125.41055550827053,30.0
525000,988.3962535858154,15.892500448825553,100.22697217111588,0.0
550000,1039.365984916687,84.72835136563052,129.10844912798183,35.0
575000,1059.6356995105743,92.43656342954144,119.44274515972926,30.0
600000,1080.1696951389313,104.8227741387703,117.88475682184388,20.0
625000,1100.165426492691,116.24343000650057,119.73494077411507,40.0
650000,1120.2471361160278,134.6980880865804,108.03096820432343,35.0
675000,1140.573213815689,133.97202903321573,118.41958198700493,55.00000000000001
700000,1161.1154952049255,121.77400256791277,105.3088064444575,15.0
725000,1181.8290700912476,116.63880363429055,110.51208256022039,35.0
750000,1202.0414180755615,100.06036566258975,117.39269741449748,25.0
775000,1222.1284854412079,104.83482068630585,135.40268529605555,35.0
800000,1242.0619242191315,118.87245497163792,110.43485732210968,25.0
825000,1262.0004699230194,70.43313342098116,140.86147684604006,25.0
850000,1282.5119264125824,113.63585298118328,116.579949566394,30.0
875000,1302.5323462486267,122.5071205046459,111.77360888365406,35.0
900000,1323.006902217865,168.41102817661226,96.56803515663897,60.0
925000,1343.5047075748444,207.68683779602642,50.90246423061299,70.0
950000,1363.742901802063,180.22879616221203,69.87188420838127,60.0
975000,1383.994470357895,182.60482130516266,98.54818587987027,70.0
1000000,1403.996104478836,150.4616409835268,95.80714100789505,45.0
1025000,1424.6523349285126,196.97285196325956,72.68024428381455,80.0
1050000,1444.8412024974823,208.17865830672812,82.41716999394522,80.0
1075000,1465.2570934295654,226.75529038932126,30.182757838930943,90.0
1100000,1485.3826546669006,221.0800952404075,60.39013020057393,90.0
1125000,1505.965392112732,193.98889674249884,97.33689492618315,75.0
1150000,1525.9492013454437,180.4229734011629,99.03688830612221,75.0
1175000,1546.1957185268402,208.7476523243146,69.3786691303721,85.0
1200000,1565.9944891929626,214.5802208458747,71.91039870359909,85.0
1225000,1585.80815076828,222.74009712260903,52.86646087834138,90.0
