epoch,train_loss,val_loss
1,0.6891641545295716,0.6827333569526672
2,0.682558741569519,0.676330029964447
3,0.676340754032135,0.669776201248169
4,0.6699609112739563,0.6653501987457275
5,0.6649559235572815,0.6605246067047119
6,0.6584919309616089,0.6535112857818604
7,0.6512882280349731,0.6443971395492554
8,0.6428574705123902,0.6345202326774597
9,0.633288950920105,0.6237842440605164
10,0.6228065133094788,0.6111898422241211
11,0.6127259278297424,0.5976815819740295
12,0.6005797052383423,0.585334062576294
13,0.5875760889053345,0.5735414624214172
14,0.5750334835052491,0.5620301365852356
15,0.5616999220848083,0.5460172891616821
16,0.5451639938354492,0.5277060866355896
17,0.5294490456581116,0.5108221769332886
18,0.5144318222999573,0.4931079149246216
19,0.5024387288093567,0.47509765625
20,0.48864256620407104,0.45964646339416504
21,0.47506277561187743,0.44452598690986633
22,0.46118122696876523,0.4315243065357208
23,0.4477094054222107,0.4202170670032501
24,0.4352973020076752,0.4090813100337982
25,0.4238817524909973,0.396460622549057
26,0.41342907667160034,0.382923424243927
27,0.4047731339931488,0.36967670917510986
28,0.3969893431663513,0.36321377754211426
29,0.38907155513763425,0.35373812913894653
30,0.3840809738636017,0.34412825107574463
31,0.3798079442977905,0.33799099922180176
32,0.37531934142112733,0.3332957923412323
33,0.3710413718223572,0.32837483286857605
34,0.3687256348133087,0.32550814747810364
35,0.36556100368499755,0.32827624678611755
36,0.36209999322891234,0.33061254024505615
37,0.35998175144195554,0.326183557510376
38,0.3579233551025391,0.3203893303871155
39,0.35599072217941286,0.3156684935092926
40,0.3549203395843506,0.31600531935691833
41,0.3534350347518921,0.3243965208530426
42,0.3528709399700165,0.32365962862968445
43,0.35253064751625063,0.3194393515586853
44,0.3491674566268921,0.31051841378211975
45,0.34906521677970886,0.3045072853565216
46,0.35259860038757324,0.30009177327156067
47,0.35923035502433776,0.299479603767395
48,0.35224079608917236,0.3045831322669983
49,0.34611482322216036,0.3099907636642456
50,0.3454428172111511,0.3078888952732086
